"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","economic","economic__special_variable","mft5t7p5","MdEMFTWrk","51","55","65.4","0.001","0.001","false","9728","0","","0","0","false","-9677","55","true","0.1","0.1","false"
"","economic","economic__special_variable","mft65t75","MdEMFTWrk","764","157","12.5","0.017","0.003","true","104166","0","","0","0","false","-103402","157","true","1.7000000000000002","0.3","true"
"","economic","economic__special_variable","mft75t100","MdEMFTWrk","1516","220","8.8","0.035","0.004","true","177860","0","","0","0","false","-176344","220","true","3.5000000000000004","0.4","true"
"","economic","economic__special_variable","mft7p5t10","MdEMFTWrk","103","61","35.9","0.002","0.001","false","10596","0","","0","0","false","-10493","61","true","0.2","0.1","false"
"","economic","economic__special_variable","mftu2pt5k","MdEMFTWrk","11","20","110.5","0","0","false","2252","0","","0","0","false","-2241","20","true","0","0",""
"","economic","economic__special_variable","mwrkern","MdEMFTWrk","12002","653","3.3","0.274","0.024","true","1594741","6501","0.2","0","0","true","-1582739","6533.713339288769","true","27.400000000000002","2.4","true"
"","economic","economic__special_variable","nf100t124","MdNFInc","122","45","22.6","0.003","0.001","false","87790","0","","0","0","false","-87668","45","true","0.3","0.1","false"
"","economic","economic__special_variable","nf125t149","MdNFInc","135","60","27","0.003","0.001","false","57550","0","","0","0","false","-57415","60","true","0.3","0.1","false"
"","economic","economic__special_variable","nf150t199","MdNFInc","108","63","35.5","0.003","0.001","false","66764","0","","0","0","false","-66656","63","true","0.3","0.1","false"
"","economic","economic__special_variable","nfam","MdNFInc","3307","289","5.3","0.083","0.019","true","1266125","5924","0.3","0","0","true","-1262818","5931.045186137095","true","8.3","1.9","true"
"","economic","economic__special_variable","nfi200pl","MdNFInc","57","41","43.5","0.001","0.001","false","88242","0","","0","0","false","-88185","41","true","0.1","0.1","false"
"","economic","economic__special_variable","nfmi10t14","MdNFInc","222","77","21.1","0.006","0.002","false","123698","0","","0","0","false","-123476","77","true","0.6","0.2","false"
"","economic","economic__special_variable","nfmi15t19","MdNFInc","279","82","17.8","0.007","0.001","true","73560","0","","0","0","false","-73281","82","true","0.7000000000000001","0.1","true"
"","economic","economic__special_variable","nfmi20t24","MdNFInc","249","78","19.2","0.006","0.001","true","63421","0","","0","0","false","-63172","78","true","0.6","0.1","true"
"","economic","economic__special_variable","nfmi25t29","MdNFInc","164","72","26.8","0.004","0.002","false","52665","0","","0","0","false","-52501","72","true","0.4","0.2","false"
"","economic","economic__special_variable","nfmi30t34","MdNFInc","148","54","22.3","0.004","0.001","false","49935","0","","0","0","false","-49787","54","true","0.4","0.1","true"
