"numGeoids","profile","category","variable","estimate","percent","comparison_estimate","comparison_percent","difference_estimate","difference_percent"
"","decennial","tenure_by_age_of_householder","hhr75p","1149","0.0675763100629301","302595","0.0973041857569529","-301446","-2.9727875694022803"
"","decennial","tenure_by_age_of_householder","hhr85p","397","0.0233488207963301","92439","0.0297252156419867","-92042","-0.6376394845656601"
"","decennial","tenure_by_age_of_householder","ochu_3","17003","1","3109784","1","-3092781","0"
"","decennial","tenure_by_age_of_householder","rntr15t24","418","0.0245838969593601","110283","0.0354632347455643","-109865","-1.0879337786204202"
"","decennial","tenure_by_age_of_householder","rntr25t34","1944","0.114332764806211","494643","0.159060243412404","-492699","-4.4727478606193"
"","decennial","tenure_by_age_of_householder","rntr35t44","2424","0.14256307710404","439197","0.141230709271126","-436773","0.13323678329140165"
"","decennial","tenure_by_age_of_householder","rntr45t54","2191","0.128859613009469","412123","0.132524638367166","-409932","-0.3665025357696994"
"","decennial","tenure_by_age_of_householder","rntr55t64","1282","0.0753984590954537","316607","0.101809964936471","-315325","-2.64115058410173"
"","decennial","tenure_by_age_of_householder","rntr65t74","538","0.0316414750338176","196380","0.0631490804506036","-195842","-3.150760541678601"
"","decennial","tenure_by_age_of_householder","rntr75p","356","0.0209374816208904","177659","0.0571290481911284","-177303","-3.6191566570238"
"","decennial","tenure_by_age_of_householder","rntr85p","115","0.00676351232135505","55448","0.0178301772727624","-55333","-1.1066664951407348"
"","decennial","tenure_by_age_of_householder","rochu_2","9153","0.538316767629242","2146892","0.690366919374465","-2137739","-15.205015174522309"
