"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","sex_and_age","mdage","median","36.9","0.9","1.5","","","true","36.5","0.1","0.2","","","true","0.3999999999999986","0.9055385138137417","false","","",""
"","demographic","sex_and_age","pop10t14","Pop_1","3824","366","5.8","0.063","0.006","true","464704","3300","0.4","0.055","0","true","-460880","3320.2343290798017","true","0.7999999999999998","0.6","false"
"","demographic","sex_and_age","pop15t19","Pop_1","3897","370","5.8","0.064","0.006","true","455674","405","0.1","0.054","0","true","-451777","548.5663132201977","true","1","0.6","false"
"","demographic","sex_and_age","pop20t24","Pop_1","4677","436","5.7","0.077","0.007","true","571401","453","0","0.068","0","true","-566724","628.7328526488814","true","0.8999999999999995","0.7000000000000001","false"
"","demographic","sex_and_age","pop25t29","Pop_1","4580","411","5.5","0.076","0.006","true","785805","271","0","0.093","0","true","-781225","492.302752379062","true","-1.700000000000001","0.6","false"
"","demographic","sex_and_age","pop30t34","Pop_1","4223","406","5.8","0.07","0.006","true","718474","335","0","0.085","0","true","-714251","526.3658423568155","true","-1.4999999999999991","0.6","false"
"","demographic","sex_and_age","pop35t39","Pop_1","4494","371","5","0.074","0.006","true","610524","4398","0.4","0.072","0.001","true","-606030","4413.62039600145","true","0.20000000000000018","0.6082762530298219","false"
"","demographic","sex_and_age","pop40t44","Pop_1","4046","333","5","0.067","0.005","true","545892","4362","0.5","0.065","0.001","true","-541846","4374.692332038906","true","0.20000000000000018","0.5099019513592785","false"
"","demographic","sex_and_age","pop45t49","Pop_1","4267","390","5.6","0.07","0.006","true","542513","317","0","0.064","0","true","-538246","502.58233156369516","true","0.6000000000000005","0.6","false"
"","demographic","sex_and_age","pop50t54","Pop_1","4290","356","5","0.071","0.006","true","544447","267","0","0.064","0","true","-540157","445","true","0.6999999999999993","0.6","false"
"","demographic","sex_and_age","pop55t59","Pop_1","4611","428","5.6","0.076","0.007","true","515825","3495","0.4","0.061","0","true","-511214","3521.109058237191","true","1.5","0.7000000000000001","false"
"","demographic","sex_and_age","pop5t9","Pop_1","3440","359","6.3","0.057","0.006","true","476567","3308","0.4","0.056","0","true","-473127","3327.423177174794","true","0.09999999999999964","0.6","false"
"","demographic","sex_and_age","pop60t64","Pop_1","3157","309","5.9","0.052","0.005","true","470657","3485","0.5","0.056","0","true","-467500","3498.6720337865336","true","-0.40000000000000036","0.5","false"
"","demographic","sex_and_age","pop65pl1","Pop_1","7126","474","4","0.118","0.007","true","1189361","179","0","0.141","0","true","-1182235","506.6724780368478","true","-2.299999999999999","0.7000000000000001","true"
"","demographic","sex_and_age","pop65pl2","Pop65pl2","7126","474","4","1","0","true","1189361","179","0","1","0","true","-1182235","506.6724780368478","true","0","0",""
"","demographic","sex_and_age","pop65plf","Pop65pl2","3889","297","4.6","0.546","0.02","true","703062","98","0","0.591","0","true","-699173","312.75069943966554","true","-4.499999999999993","2","false"
"","demographic","sex_and_age","pop65plm","Pop65pl2","3237","288","5.4","0.454","0.027","true","486299","131","0","0.409","0","true","-483062","316.39374203672236","true","4.5","2.7","false"
"","demographic","sex_and_age","pop65t69","Pop_1","2626","280","6.5","0.043","0.004","true","384622","3868","0.6","0.046","0","true","-381996","3878.121194599261","true","-0.2999999999999998","0.4","false"
"","demographic","sex_and_age","pop70t74","Pop_1","1810","230","7.7","0.03","0.004","true","280196","3421","0.7","0.033","0","true","-278386","3428.7229401046684","true","-0.30000000000000027","0.4","false"
"","demographic","sex_and_age","pop75t79","Pop_1","1284","194","9.2","0.021","0.003","true","211102","2454","0.7","0.025","0","true","-209818","2461.6563529461214","true","-0.3999999999999999","0.3","false"
"","demographic","sex_and_age","pop80t84","Pop_1","619","124","12.2","0.01","0.002","true","148988","2294","0.9","0.018","0","true","-148369","2297.348906892464","true","-0.7999999999999998","0.2","true"
"","demographic","sex_and_age","pop85pl","Pop_1","787","131","10.1","0.013","0.002","true","164453","2242","0.8","0.019","0","true","-163666","2245.8239022683856","true","-0.5999999999999999","0.2","false"
