id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwQm9s,0,0,,0,0,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,29,46.7546789102438,98.0079214133609,0.00309333333333333,0.00497481458802789,False,3802,607,9.7,0.002,0,True,-29,46.7546789102438,False,-1,0,True,-0.00309333333333333,0.00497481458802789,False,-3802,607,True,-0.2,0,True
SHNwQ0Ft,3178,745.735878176718,14.2647854106541,0.308753521810939,0.062894634529843,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,True,2218,574.245592059704,15.7387496076507,0.236586666666667,0.055065098051629,True,179031,5054,1.7,0.073,0.002,True,960,941.2119846240807,False,0.4328223624887286,0.5006556403706572,False,0.07216685514427201,0.08359366050172724,False,-175853,5108.721757935149,True,23.5753521810939,6.292642571005062,True
SHNwQ2hs,51,46.7546789102438,55.729994529166,0.00495482366656951,0.00450556258865517,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,91,99.3277403347121,66.3534121612025,0.00970666666666667,0.0105376282179195,False,7524,974,7.9,0.003,0,True,-40,109.78160137290762,False,-0.43956043956043955,0.798866832248434,False,-0.0047518430000971605,0.011460440772473908,False,-7473,975.1215308873043,True,0.195482366656951,0.450556258865517,False
SHNwQ29s,1217,387.280260276715,19.3450065449054,0.11823569416108,0.0350144974553623,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,True,1939,508.802515717051,15.9516473009479,0.206826666666667,0.0489429792979972,True,102532,3800,2.3,0.042,0.002,True,-722,639.4263053706815,False,-0.37235688499226405,0.25887790729281823,False,-0.08859097250558699,0.06017832047021382,False,-101315,3819.684018344973,True,7.623569416108,3.5071570139524306,False
SHNwQ1I=,0,0,,0,0,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,114,177,94.3848984162534,0.01216,0.018829578525621,False,7377,1032,8.5,0.003,0,True,-114,177,False,-1,0,True,-0.01216,0.018829578525621,False,-7377,1032,True,-0.3,0,True
SHNwQ3Vi,203,96.0156237286412,28.7527883356465,0.0197221412610512,0.0090409549046333,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,223,118.869676536954,32.4041262521171,0.0237866666666667,0.0123892060411537,False,39929,2284,3.5,0.016,0.001,True,-20,152.80379576437255,False,-0.08968609865470852,0.6487245248733584,False,-0.004064525405615499,0.015337251772001795,False,-39726,2286.0172790248107,True,0.37221412610511995,0.9096090676087882,False
SHNwRG9t,1238,393.048343082629,19.3000939392701,0.120275915670844,0.0355231866529011,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,True,1057,498.69329251555,28.6808908918428,0.112746666666667,0.0516346584308476,False,701188,8731,0.8,0.285,0.004,True,181,634.966140829572,False,0.17123935666982024,0.666056918993721,False,0.007529249004177008,0.06267403562279321,False,-699950,8739.842561511048,True,-16.472408432915596,3.574768230216961,True
SHNwRWM=,1099,684.142529009855,37.8427766059698,0.106771592344312,0.0652928753934383,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,False,711,323.947526615037,27.6974103527321,0.07584,0.0334671000683186,False,196728,6097,1.9,0.08,0.002,True,388,756.9630109853456,False,0.5457102672292545,1.1924180938848388,False,0.03093159234431199,0.07337033708608616,False,-195629,6135.263645516792,True,2.6771592344311994,6.532349942511546,False
SHNwR3VhdG0=,323,158.905632373431,29.9068633486277,0.0313805498882736,0.0149992737329426,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,335,221.108570616338,40.1231358011773,0.0357333333333333,0.0232342239295437,False,37583,2564,4.1,0.015,0.001,True,-12,272.28661369960906,False,-0.03582089552238806,0.7937168934414085,False,-0.004352783445059696,0.027655150951023985,False,-37260,2568.9194226366853,True,1.63805498882736,1.5032571719960022,False
SHNwSG5k,64,66.7308024828115,63.384120899327,0.0062178179345186,0.0064425434411929,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,214,193.597520645281,54.9946085973585,0.0228266666666667,0.020487531642867,False,50108,3416,4.1,0.02,0.001,True,-150,204.77548681421808,False,-0.7009345794392523,0.4128370702186529,False,-0.0166088487321481,0.021476622611787316,False,-50044,3416.651723544558,True,-1.3782182065481399,0.6519690636192614,False
