id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RkZUMTAwcGw=,1593,212,8.1,0.035,0.004,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,True,487,0,,0,0,False,216925,0,,0,0,False,1106,212,True,2.271047227926078,0.43531827515400406,True,0.035,0.004,True,-215332,212,True,3.5000000000000004,0.4,True
RkZUMjV0MzA=,1258,200,9.7,0.027,0.004,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,True,1565,0,,0,0,False,84078,0,,0,0,False,-307,200,False,-0.19616613418530351,0.12779552715654952,False,0.027,0.004,True,-82820,200,True,2.7,0.4,True
RkZUMnA1dDU=,5,8,97.3,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,False,0,0,,0,0,False,2238,0,,0,0,False,5,8,False,0,,0,0,-2233,8,True,0,0
RkZUMzB0MzU=,1578,232,8.9,0.034,0.005,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,True,2051,0,,0,0,False,89523,0,,0,0,False,-473,232,False,-0.23061921014139444,0.11311555338859093,False,0.034,0.005,True,-87945,232,True,3.4000000000000004,0.5,True
RkZUMzV0NDA=,1479,218,9,0.032,0.004,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,True,1981,0,,0,0,False,89490,0,,0,0,False,-502,218,False,-0.25340737001514385,0.1100454316002019,False,0.032,0.004,True,-88011,218,True,3.2,0.4,True
RkZUNDB0NDU=,2073,264,7.7,0.045,0.005,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,True,1900,0,,0,0,False,94744,0,,0,0,False,173,264,False,0.09105263157894737,0.1389473684210526,False,0.045,0.005,True,-92671,264,True,4.5,0.5,True
RkZUNDV0NTA=,1340,212,9.6,0.029,0.004,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,True,1143,0,,0,0,False,65731,0,,0,0,False,197,212,False,0.17235345581802275,0.18547681539807523,False,0.029,0.004,True,-64391,212,True,2.9000000000000004,0.4,True
RkZUNTB0NTU=,993,174,10.7,0.022,0.004,fft50t55,FFT50t55,MdEFFTWrk,economic__special_variable,economic,True,1278,0,,0,0,False,83393,0,,0,0,False,-285,174,False,-0.22300469483568075,0.13615023474178403,False,0.022,0.004,True,-82400,174,True,2.1999999999999997,0.4,True
RkZUNTV0NjU=,1637,242,9,0.036,0.005,fft55t65,FFT55t65,MdEFFTWrk,economic__special_variable,economic,True,1538,0,,0,0,False,125371,0,,0,0,False,99,242,False,0.06436931079323797,0.15734720416124837,False,0.036,0.005,True,-123734,242,True,3.5999999999999996,0.5,True
RkZUNXQ3cDU=,85,47,33.6,0.002,0.001,fft5t7p5,FFT5t7p5,MdEFFTWrk,economic__special_variable,economic,False,116,0,,0,0,False,10332,0,,0,0,False,-31,47,False,-0.2672413793103448,0.4051724137931034,False,0.002,0.001,False,-10247,47,True,0.2,0.1,False
RkZUNjV0NzU=,1405,211,9.1,0.031,0.004,fft65t75,FFT65t75,MdEFFTWrk,economic__special_variable,economic,True,1506,0,,0,0,False,94257,0,,0,0,False,-101,211,False,-0.06706507304116865,0.14010624169986718,False,0.031,0.004,True,-92852,211,True,3.1,0.4,True
RkZUNzV0MTAw,2553,282,6.7,0.056,0.006,fft75t100,FFT75t100,MdEFFTWrk,economic__special_variable,economic,True,1861,0,,0,0,False,171740,0,,0,0,False,692,282,False,0.37184309511015584,0.15153143471252015,False,0.056,0.006,True,-169187,282,True,5.6000000000000005,0.6,True
RkZUN3A1dDEw,107,55,31.2,0.002,0.001,fft7p5t10,FFT7p5t10,MdEFFTWrk,economic__special_variable,economic,False,103,0,,0,0,False,10188,0,,0,0,False,4,55,False,0.038834951456310676,0.5339805825242718,False,0.002,0.001,False,-10081,55,True,0.2,0.1,False
RkZUVTJwdDVr,0,0,,0,0,fftu2pt5k,FFTU2pt5k,MdEFFTWrk,economic__special_variable,economic,False,36,0,,0,0,False,1176,0,,0,0,False,-36,0,True,-1,0,True,0,0,-1176,0,True,0,0
RkkxMDB0MTQ5,4303,341,4.8,0.199,0.015,fi100t149,FI100t149,Fam2,income_and_benefits,economic,True,,0,,0,0,False,284755,4036,0.9,0.151,0.002,True,,,,,0.199,0.015,True,-280452,4050.3798587293018,True,4.8000000000000025,1.5132745950421556,True
RkkxNTB0MTk5,2062,235,6.9,0.096,0.011,fi150t199,FI150t199,Fam2,income_and_benefits,economic,True,,0,,0,0,False,148457,2767,1.1,0.079,0.001,True,,,,,0.096,0.011,True,-146395,2776.9612888911506,True,1.6999999999999993,1.104536101718726,False
