id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RjE2cGxMRg==,43963,1372.84594911447,1.89831632957787,0.553244236383771,0.0143272724004851,f16pllf,F16plLF,F16pl,employment_status,economic,True,39959,1165.42953454939,1.77298681688151,0.544200362264562,0.0127544827689207,True,2130876,7736,0.2,0.585,0.002,True,4004,1800.814260272285,False,0.10020270777546986,0.0470107057787586,False,0.009043874119208928,0.019181959366560995,False,-2086913,7856.8697329152665,True,-3.175576361622902,1.446619281074679,False
RmFtMg==,51732,856.955074668445,1.00700791414396,1,0,fam2,Fam2,Fam2,income_and_benefits,economic,True,50085,807.13072051558,0.979648543391833,1,0,True,1887978,7339,0.2,1,0,True,1647,1177.213659451843,False,0.03288409703504043,0.023870771077115795,False,0,0,-1836246,7388.862767706543,True,0,0
RmFtQndQdg==,2974,437.675679013582,8.94634305855575,0.0574885950668832,0.0084066762843024,fambwpv,FamBwPv,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,1796,327.604945017623,11.0886382104651,0.0358590396326245,0.00651540239655571,True,294980,3717,0.8,0.156,0.002,True,1178,546.7037589042167,False,0.655902004454343,0.3880995620651645,False,0.0216295554342587,0.010635914372450367,False,-292006,3742.679387818305,True,-9.85114049331168,0.864130812719072,True
RmFtSTEwdDE0,949,253.237043103887,16.2216534508497,0.018344544962499,0.00488573078498191,fami10t14,FamI10t14,Fam2,income_and_benefits,economic,True,,0,,,,False,77738,2003,1.6,0.041,0.001,True,,,,,,,-76789,2018.9447738856059,True,-2.2655455037501007,0.4987019681465068,True
RmFtSTE1dDI0,2066,335.542843762164,9.8730596622157,0.0399365963040285,0.00645234941639237,fami15t24,FamI15t24,Fam2,income_and_benefits,economic,True,,0,,,,False,168362,3233,1.2,0.089,0.002,True,,,,,,,-166296,3250.36582556487,True,-4.90634036959715,0.6755206361852979,True
RmFtSTIwMHBs,7829,489.040898085221,3.79728317470756,0.151337663341839,0.00911488318734121,fami200pl,FamI200pl,Fam2,income_and_benefits,economic,True,,0,,,,False,222929,3638,1,0.118,0.002,True,,,,,,,-215100,3670.7226808899636,True,3.3337663341839026,0.9331725216640032,True
RmFtSTI1dDM0,2434,355.759750393436,8.88526398796773,0.0470501817057141,0.00683266733034557,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-158199,3151.14677538194,True,-3.7949818294285897,0.71193639355754,True
RmFtSTM1dDQ5,3709,466.652975989653,7.64841252796989,0.0716964354751411,0.00894205879136395,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-207184,3312.03955290392,True,-4.030356452485892,0.9162991620001041,True
RmFtSTUwdDc0,6745,650.385270435916,5.86168991945777,0.130383515039047,0.0123852901985521,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-280329,3535.3395876492546,True,-2.1616484960952995,1.2545732872269788,False
RmFtSTc1dDk5,7185,569.366314423325,4.81724899199679,0.138888888888889,0.010762914614936,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-207547,3220.726315600256,True,2.4888888888888996,1.0947160865192533,False
