id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RmFtSTI1dDM0,5034,653.902133350244,7.8964818365841,0.0575209104620869,0.00734622377985949,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-155599,3198.5542046368387,True,-2.7479089537913106,0.7613606492574532,True
RmFtSTM1dDQ5,5910,687.654709865351,7.0732179230026,0.0675305087069793,0.0076925368669526,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-204983,3350.329834508835,True,-4.446949129302071,0.794827801787437,True
RmFtSTUwdDc0,8014,908.28189456798,6.8897809878911,0.0915718268659445,0.0101487229207463,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-279060,3591.7406643576037,True,-6.042817313405548,1.0343914970748809,True
RmFtSTc1dDk5,6369,760.570180851182,7.25942366975278,0.0727752639517345,0.00851754750939892,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-208363,3259.9642636078083,True,-4.12247360482655,0.8749206568304794,True
RmFtSVUxMA==,5450,656.859954632645,7.32673327160586,0.0622743269802093,0.00735886866615424,famiu10,FamIU10,Fam2,income_and_benefits,economic,True,,0,,,,False,112405,2509,1.4,0.06,0.001,True,,,,,,,-106955,2593.558559200081,True,0.22743269802093025,0.742650308326245,False
RmFtUHZV,87516,2075.44983075959,1.4416468184573,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,79832,1483.79985173203,1.12988023461125,1,0,True,1887978,7339,0.2,1,0,True,7684,2551.3043722770526,False,0.09625212947189098,0.03303094429479409,False,0,0,-1800462,7626.8219462630705,True,0,0
RkYxMHQxMnA1,951,25,1.59806187056338,0,0,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,True,626,0,,0,0,False,22815,0,,0,0,False,325,25,True,0.5191693290734825,0.039936102236421724,True,0,0,-21864,25,True,0,0
RkYxMnA1dDE1,520,0,0,0,0,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,True,728,0,,0,0,False,23183,0,,0,0,False,-208,0,True,-0.2857142857142857,0,True,0,0,-22663,0,True,0,0
RkYxNXQxN3A1,719,85,7.18661092111215,0,0,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,True,1102,0,,0,0,False,34778,0,,0,0,False,-383,85,True,-0.34754990925589835,0.07713248638838476,True,0,0,-34059,85,True,0,0
RkYxN3A1dDIw,944,266,17.1294626758024,0,0,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,True,1039,0,,0,0,False,33443,0,,0,0,False,-95,266,False,-0.09143407122232916,0.25601539942252166,False,0,0,-32499,266,True,0,0
RkYyMHQyMnA1,1394,166,7.23901392419967,0,0,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,True,1588,0,,0,0,False,56003,0,,0,0,False,-194,166,False,-0.12216624685138538,0.10453400503778336,False,0,0,-54609,166,True,0,0
RkYyMnA1dDI1,471,59,7.61491749430495,0,0,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,True,822,0,,0,0,False,32627,0,,0,0,False,-351,59,True,-0.42700729927007297,0.07177615571776157,True,0,0,-32156,59,True,0,0
RkZUMTAwcGw=,28121,948,2.04932894745233,0,0,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,True,20111,0,,0,0,False,216925,0,,0,0,False,8010,948,True,0.39828949331211777,0.04713838198001094,True,0,0,-188804,948,True,0,0
RkZUMjV0MzA=,1917,69,2.18806931423054,0,0,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,True,2785,0,,0,0,False,84078,0,,0,0,False,-868,69,True,-0.3116696588868941,0.02477558348294434,True,0,0,-82161,69,True,0,0
RkZUMnA1dDU=,121,84,42.2015122208546,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,False,75,0,,0,0,False,2238,0,,0,0,False,46,84,False,0.6133333333333333,1.1199999999999999,False,0,0,-2117,84,True,0,0
RkZUMzB0MzU=,2187,159,4.41959464812105,0,0,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,True,2985,0,,0,0,False,89523,0,,0,0,False,-798,159,True,-0.26733668341708544,0.053266331658291456,True,0,0,-87336,159,True,0,0
RkZUMzV0NDA=,2579,261,6.15209825443051,0,0,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,True,4338,0,,0,0,False,89490,0,,0,0,False,-1759,261,True,-0.4054863992623329,0.06016597510373444,True,0,0,-86911,261,True,0,0
RkZUNDB0NDU=,3356,240,4.34733779901533,0,0,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,True,3777,0,,0,0,False,94744,0,,0,0,False,-421,240,False,-0.11146412496690496,0.06354249404289118,False,0,0,-91388,240,True,0,0
RkZUNDV0NTA=,1917,182,5.77142920565156,0,0,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,True,3691,0,,0,0,False,65731,0,,0,0,False,-1774,182,True,-0.48062855594689785,0.04930913031698726,True,0,0,-63814,182,True,0,0
RkZUNTB0NTU=,3984,321,4.89801149888307,0,0,fft50t55,FFT50t55,MdEFFTWrk,economic__special_variable,economic,True,4674,0,,0,0,False,83393,0,,0,0,False,-690,321,False,-0.14762516046213095,0.06867779204107831,False,0,0,-79409,321,True,0,0
RkZUNTV0NjU=,6846,476,4.22672658673181,0,0,fft55t65,FFT55t65,MdEFFTWrk,economic__special_variable,economic,True,6056,0,,0,0,False,125371,0,,0,0,False,790,476,False,0.13044914134742405,0.07859973579920738,False,0,0,-118525,476,True,0,0
RkZUNXQ3cDU=,453,57,7.64910726866483,0,0,fft5t7p5,FFT5t7p5,MdEFFTWrk,economic__special_variable,economic,True,425,0,,0,0,False,10332,0,,0,0,False,28,57,False,0.06588235294117648,0.13411764705882354,False,0,0,-9879,57,True,0,0
RkZUNjV0NzU=,4999,442,5.3749351694047,0,0,fft65t75,FFT65t75,MdEFFTWrk,economic__special_variable,economic,True,5503,0,,0,0,False,94257,0,,0,0,False,-504,442,False,-0.09158640741413775,0.08031982554970017,False,0,0,-89258,442,True,0,0
