id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RGZIc0RmQ250,0,0,,0,0,dfhsdfcnt,DfHsDfCnt,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,283708,5850,1.3,0.34,0.006,True,0,0,0,,,,-283708,5850,True,-34,0.6,True
RGZIc1NtQ250,0,0,,0,0,dfhssmcnt,DfHsSmCnt,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,460018,8664,1.1,0.551,0.008,True,0,0,0,,,,-460018,8664,True,-55.1,0.8,True
RGZIc1VT,0,0,,0,0,dfhsus,DfHsUS,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,743726,9386,0.8,0.891,0.004,True,0,0,0,,,,-743726,9386,True,-89.1,0.4,True
REhEZkNudE5ZQw==,0,0,,0,0,dhdfcntnyc,DHDfCntNYC,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,122166,3635,1.8,0.146,0.004,True,0,0,0,,,,-122166,3635,True,-14.6,0.4,True
REhub05ZQw==,0,0,,0,0,dhnonyc,DHnoNYC,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,161542,4136,1.6,0.194,0.004,True,0,0,0,,,,-161542,4136,True,-19.400000000000002,0.4,True
RG9taW5pY2E=,0,0,,0,0,dominica,Dominica,Fb2,place_of_birth,social,False,0,0,,0,0,False,8106,785,5.9,0.003,0,True,0,0,0,,,,-8106,785,True,-0.3,0,True
RG9tUmVw,0,0,,0,0,domrep,DomRep,Fb2,place_of_birth,social,False,0,0,,0,0,False,422374,5878,0.8,0.135,0.002,True,0,0,0,,,,-422374,5878,True,-13.5,0.2,True
RHV0Y2g=,0,0,,0,0,dutch,Dutch,Pop_5,ancestry,social,False,0,0,,0,0,False,21578,1383,3.9,0.003,0,True,0,0,0,,,,-21578,1383,True,-0.3,0,True
RUFfOXQxMk5E,0,0,,0,0,ea_9t12nd,EA_9t12ND,EA_P25pl,educational_attainment__highest_grade_completed_,social,False,0,0,,0,0,False,523873,6173,0.7,0.088,0.001,True,0,0,0,,,,-523873,6173,True,-8.799999999999999,0.1,True
RUFfQXNjRA==,0,0,,0,0,ea_ascd,EA_AscD,EA_P25pl,educational_attainment__highest_grade_completed_,social,False,0,0,,0,0,False,379457,4804,0.8,0.064,0.001,True,0,0,0,,,,-379457,4804,True,-6.4,0.1,True
RUFfQmNoRA==,0,0,,0,0,ea_bchd,EA_BchD,EA_P25pl,educational_attainment__highest_grade_completed_,social,False,0,0,,0,0,False,1292814,8445,0.4,0.218,0.001,True,0,0,0,,,,-1292814,8445,True,-21.8,0.1,True
