id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RkYxNXQxN3A1,140,75,32.5662179765523,0,0,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,False,112,0,,0,0,False,34778,0,,0,0,False,28,75,False,0.25,0.6696428571428571,False,0,0,-34638,75,True,0,0
RkYxN3A1dDIw,134,93,42.1902644830558,0,0,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,False,178,0,,0,0,False,33443,0,,0,0,False,-44,93,False,-0.24719101123595505,0.5224719101123595,False,0,0,-33309,93,True,0,0
RkYyMHQyMnA1,145,73,30.604758411068,0,0,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,False,377,0,,0,0,False,56003,0,,0,0,False,-232,73,True,-0.6153846153846154,0.19363395225464192,True,0,0,-55858,73,True,0,0
RkYyMnA1dDI1,50,58,70.516717325228,0,0,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,False,133,0,,0,0,False,32627,0,,0,0,False,-83,58,False,-0.6240601503759399,0.4360902255639097,False,0,0,-32577,58,True,0,0
RkZUMTAwcGw=,5600,453,4.9174989144594,0,0,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,True,3277,0,,0,0,False,216925,0,,0,0,False,2323,453,True,0.7088800732377174,0.1382361916386939,True,0,0,-211325,453,True,0,0
RkZUMjV0MzA=,365,123,20.4854894449765,0,0,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,False,498,0,,0,0,False,84078,0,,0,0,False,-133,123,False,-0.26706827309236947,0.24698795180722893,False,0,0,-83713,123,True,0,0
RkZUMnA1dDU=,11,17,93.9486045869025,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,False,72,0,,0,0,False,2238,0,,0,0,False,-61,17,True,-0.8472222222222222,0.23611111111111113,True,0,0,-2227,17,True,0,0
RkZUMzB0MzU=,553,157,17.2587214255484,0,0,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,True,793,0,,0,0,False,89523,0,,0,0,False,-240,157,False,-0.3026481715006305,0.19798234552332913,False,0,0,-88970,157,True,0,0
RkZUMzV0NDA=,464,145,18.9969604863222,0,0,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,True,809,0,,0,0,False,89490,0,,0,0,False,-345,145,False,-0.4264524103831891,0.1792336217552534,False,0,0,-89026,145,True,0,0
RkZUNDB0NDU=,567,150,16.0820829513839,0,0,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,True,921,0,,0,0,False,94744,0,,0,0,False,-354,150,False,-0.38436482084690554,0.16286644951140067,False,0,0,-94177,150,True,0,0
RkZUNDV0NTA=,631,145,13.9692387728265,0,0,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,True,939,0,,0,0,False,65731,0,,0,0,False,-308,145,False,-0.32800851970181044,0.15441959531416402,False,0,0,-65100,145,True,0,0
RkZUNTB0NTU=,993,184,11.2642601554345,0,0,fft50t55,FFT50t55,MdEFFTWrk,economic__special_variable,economic,True,1099,0,,0,0,False,83393,0,,0,0,False,-106,184,False,-0.09645131938125569,0.16742493175614193,False,0,0,-82400,184,True,0,0
RkZUNTV0NjU=,1675,294,10.6700539853922,0,0,fft55t65,FFT55t65,MdEFFTWrk,economic__special_variable,economic,True,1739,0,,0,0,False,125371,0,,0,0,False,-64,294,False,-0.03680276020701553,0.16906267970097758,False,0,0,-123696,294,True,0,0
RkZUNXQ3cDU=,64,65,61.7401215805471,0,0,fft5t7p5,FFT5t7p5,MdEFFTWrk,economic__special_variable,economic,False,46,0,,0,0,False,10332,0,,0,0,False,18,65,False,0.391304347826087,1.4130434782608696,False,0,0,-10268,65,True,0,0
RkZUNjV0NzU=,1307,218,10.1394641432734,0,0,fft65t75,FFT65t75,MdEFFTWrk,economic__special_variable,economic,True,1342,0,,0,0,False,94257,0,,0,0,False,-35,218,False,-0.02608047690014903,0.16244411326378538,False,0,0,-92950,218,True,0,0
RkZUNzV0MTAw,3302,357,6.57241903681843,0,0,fft75t100,FFT75t100,MdEFFTWrk,economic__special_variable,economic,True,2204,0,,0,0,False,171740,0,,0,0,False,1098,357,True,0.4981851179673321,0.161978221415608,True,0,0,-168438,357,True,0,0
RkZUN3A1dDEw,21,33,95.5275727312201,0,0,fft7p5t10,FFT7p5t10,MdEFFTWrk,economic__special_variable,economic,False,9,0,,0,0,False,10188,0,,0,0,False,12,33,False,1.3333333333333333,3.6666666666666665,False,0,0,-10167,33,True,0,0
RkZUVTJwdDVr,32,35,66.4893617021277,0,0,fftu2pt5k,FFTU2pt5k,MdEFFTWrk,economic__special_variable,economic,False,32,0,,0,0,False,1176,0,,0,0,False,0,35,0,1.09375,0,0,-1144,35,True,0,0
