id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwT0NBbQ==,0,0,,0,0,hspocam,HspOCAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,1606,513,19.4,0.001,0,True,0,0,0,,,,-1606,513,True,-0.1,0,True
SHNwT1NBbQ==,0,0,,0,0,hsposam,HspOSAm,Hsp2,hispanic_subgroup,demographic,False,63,104,100.4,0.004,0.006,False,2811,708,15.3,0.001,0,True,-63,104,False,-1,0,True,-0.004,0.006,False,-2811,708,True,-0.1,0,True
SHNwT3Ro,237,104,26.7,0.013,0.006,hspoth,HspOth,Hsp2,hispanic_subgroup,demographic,False,374,164,26.6,0.022,0.01,False,108479,3640,2,0.044,0.001,True,-137,194.1957775030137,False,-0.3663101604278075,0.3931157260476433,False,-0.009,0.0116619037896906,False,-108242,3641.4854112024123,True,-3.0999999999999996,0.6082762530298219,True
SHNwUGFu,42,54,77.7,0.002,0.003,hsppan,HspPan,Hsp2,hispanic_subgroup,demographic,False,27,43,96.8,0.002,0.003,False,22824,1473,3.9,0.009,0.001,True,15,69.02897942168927,False,0.5555555555555556,3.183919528211473,False,0,0.004242640687119285,-22782,1473.989484358691,True,-0.7,0.31622776601683794,False
SHNwUGVydQ==,41,38,55.7,0.002,0.002,hspperu,HspPeru,Hsp2,hispanic_subgroup,demographic,False,26,42,98.2,0.002,0.003,False,40211,2081,3.1,0.016,0.001,True,15,56.639209034025185,False,0.5769230769230769,2.9368387567224885,False,0,0.0036055512754639895,-40170,2081.346919665244,True,-1.4000000000000001,0.223606797749979,True
SHNwUFI=,4847,880,11,0.273,0.044,hsppr,HspPR,Hsp2,hispanic_subgroup,demographic,True,6202,965,9.5,0.372,0.048,True,696879,8571,0.7,0.284,0.003,True,-1355,1305.9957886608977,False,-0.21847791035149952,0.18686752231453432,False,-0.09899999999999998,0.06511528238439883,False,-692032,8616.057160906026,True,-1.0999999999999979,4.410215414239989,False
SHNwUHJn,0,0,,0,0,hspprg,HspPrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3666,808,13.4,0.001,0,True,0,0,0,,,,-3666,808,True,-0.1,0,True
SHNwU2Fsdg==,310,235,46.1,0.017,0.013,hspsalv,HspSalv,Hsp2,hispanic_subgroup,demographic,False,68,93,82.9,0.004,0.006,False,46973,2844,3.7,0.019,0.001,True,242,252.73306075778848,False,3.5588235294117645,7.128577831865906,False,0.013000000000000001,0.014317821063276353,False,-46663,2853.6925202270827,True,-0.19999999999999973,1.3038404810405297,False
SHNwU0Ft,1005,472,28.5,0.057,0.026,hspsam,HspSAm,Hsp2,hispanic_subgroup,demographic,False,701,285,24.7,0.042,0.017,False,392206,7423,1.2,0.16,0.003,True,304,551.3701116310168,False,0.43366619115549215,0.8905657681532312,False,0.015,0.031064449134018134,False,-391201,7437.991193864107,True,-10.3,2.6172504656604803,True
SHNwU3BBbQ==,0,0,,0,0,hspspam,HspSpAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,601,224,22.7,0,0,False,0,0,0,,,,-601,224,False,0,0
