id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QnVsZ2FyaWE=,356,210.895708823105,36.0123815482916,0.00373666974557058,0.00220890887216837,bulgaria,Bulgaria,Fb2,place_of_birth,social,False,226,106.512910015641,28.6502165359337,0.00249508710724458,0.00117317024116286,False,4089,684,10.2,0.001,0,True,130,236.26679834458315,False,0.5752212389380531,1.1924561012420736,False,0.0012415826383259999,0.002501121112680124,False,-3733,715.7744058011574,True,0.273666974557058,0.220890887216837,False
QnVsZ3JpYW4=,238,176.411450875503,45.0592451982077,0.00059315676535167,0.000439584132873045,bulgrian,Bulgrian,Pop_5,ancestry,social,False,315,143.60362112426,27.7133441644734,0.00079216784905053,0.000360994399411821,False,4057,614,9.2,0,0,True,-77,227.47087725684804,False,-0.24444444444444444,0.6574829384677832,False,-0.00019901108369885993,0.0005688155819599602,False,-3819,638.8403556445069,True,0.059315676535167,0.0439584132873045,False
QnVybWE=,89,90.6090503205943,61.8893141085307,0.000934167436392644,0.000950372053922761,burma,Burma,Fb2,place_of_birth,social,False,22,27.6586333718787,76.4261767667275,0.000242884585660977,0.000305256661503579,False,6545,898,8.3,0.002,0,True,67,94.73647660748205,False,3.0454545454545454,6.544470001189989,False,0.000691282850731667,0.0009981927019717576,False,-6456,902.5596933167357,True,-0.10658325636073561,0.0950372053922761,False
QzE4NjREQW1i,9942,956.703193263198,5.84975345308686,0.0381914566687154,0.00363087023658357,c1864damb,C1864DAmb,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,229309,3664,1,0.042,0.001,True,,,,,0.0381914566687154,0.00363087023658357,True,-219367,3786.842616217368,True,-0.3808543331284602,0.3766061427394464,False
QzE4NjREQ29n,7824,884.023189741084,6.86861088118768,0.0300553165334972,0.00336631195211936,c1864dcog,C1864DCog,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,170837,3188,1.1,0.031,0.001,True,,,,,0.0300553165334972,0.00336631195211936,True,-163013,3308.2988075444455,True,-0.09446834665028003,0.35117027435393294,False
QzE4NjRESHJn,2593,606.65064081397,14.2223133081928,0.00996081745543946,0.00232568208101138,c1864dhrg,C1864DHrg,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,58827,2048,2.1,0.011,0,True,,,,,0.00996081745543946,0.00232568208101138,True,-56234,2135.960907881977,True,-0.10391825445605374,0.23256820810113799,False
QzE4NjRESUxE,6498,811.392629988713,7.59076330232742,0.0249615857406269,0.00309467947247107,c1864dild,C1864DILD,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,152865,2956,1.2,0.028,0.001,True,,,,,0.0249615857406269,0.00309467947247107,True,-146367,3065.337501809548,True,-0.3038414259373101,0.3252236313267199,False
QzE4NjREU0Ny,3927,664.134022618929,10.2808476987535,0.0150852796558082,0.00254132072526746,c1864dscr,C1864DSCr,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,83328,2435,1.8,0.015,0,True,,,,,0.0150852796558082,0.00254132072526746,True,-79401,2523.9451261863837,True,0.008527965580819918,0.25413207252674597,False
QzE4NjREVnNu,3432,604.214365933151,10.7023183542194,0.0131837738168408,0.00231273383149271,c1864dvsn,C1864DVsn,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,96360,2606,1.6,0.018,0,True,,,,,0.0131837738168408,0.00231273383149271,True,-92928,2675.1282212260408,True,-0.48162261831592,0.231273383149271,False
QzY1cGxEQW1i,15241,1128.1693135341,4.49981767518425,0.225138856062397,0.0151092482304303,c65pldamb,C65plDAmb,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,307659,3733,0.7,0.266,0.003,True,,,,,0.225138856062397,0.0151092482304303,True,-292418,3899.7506330533497,True,-4.086114393760301,1.5404200144400915,False
QzY1cGxEQ29n,5593,746.596276443969,8.11474912946404,0.0826193571259749,0.0107225628895718,c65pldcog,C65plDCog,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,120293,2983,1.5,0.104,0.003,True,,,,,0.0826193571259749,0.0107225628895718,True,-114700,3075.011382092756,True,-2.1380642874025106,1.1134332262009357,False
QzY1cGxESHJn,6723,842.81551955336,7.62085170178279,0.0993116284566296,0.0120574652504872,c65pldhrg,C65plDHrg,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,114133,2557,1.4,0.099,0.002,True,,,,,0.0993116284566296,0.0120574652504872,True,-107410,2692.3200032685563,True,0.03116284566295846,1.2222212085653987,False
QzY1cGxESUxE,9629,907.537877997387,5.72951250037414,0.142238832427322,0.0126486681903167,c65pldild,C65plDILD,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,217939,3170,0.9,0.189,0.003,True,,,,,0.142238832427322,0.0126486681903167,True,-208310,3297.351209683312,True,-4.676116757267799,1.2999569492438185,True
QzY1cGxEU0Ny,6461,877.108887197023,8.25254437259068,0.0954413850153628,0.0126090486698959,c65pldscr,C65plDSCr,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,134140,2575,1.2,0.116,0.002,True,,,,,0.0954413850153628,0.0126090486698959,True,-127679,2720.283992527251,True,-2.055861498463722,1.2766679613736829,False
QzY1cGxEVnNu,4728,684.403389822114,8.79971854697506,0.0698416450011818,0.00987184407991925,c65pldvsn,C65plDVsn,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,True,,0,,0,0,False,88066,2373,1.6,0.076,0.002,True,,,,,0.0698416450011818,0.00987184407991925,True,-83338,2469.7240736568124,True,-0.6158354998818201,1.007240316598957,False
Q2Fib1ZlcmQ=,58,84,88.0410858400587,0.000608783273154757,0.000881372648187172,caboverd,CaboVerd,Fb2,place_of_birth,social,False,0,0,,0,0,False,147,110,45.5,0,0,False,58,84,False,0,,0.000608783273154757,0.000881372648187172,False,-89,138.40520221436765,False,0.0608783273154757,0.0881372648187172,False
Q2FqdW4=,0,0,,0,0,cajun,Cajun,Pop_5,ancestry,social,False,33,29.6816441593117,54.6774323649473,8.29890127576746e-05,7.46363762646448e-05,False,258,107,25.2,0,0,False,-33,29.6816441593117,False,-1,0,True,-8.29890127576746e-05,7.46363762646448e-05,False,-258,107,False,0,0
