id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RmFtSTI1dDM0,920,201.395134002786,13.3074622705686,0.061292471685543,0.0131353511016509,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-159713,3137.4704779487565,True,-2.3707528314457003,1.32867395761203,False
RmFtSTM1dDQ5,1205,235.743504682526,11.8928731441953,0.0802798134576949,0.015291278944563,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-209688,3287.4634598729763,True,-3.172018654230511,1.5421517816364112,False
RmFtSTUwdDc0,1112,226.773014267571,12.3971165220294,0.0740839440373085,0.0147415870697706,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-285962,3482.3915632794656,True,-7.791605596269149,1.4876639047030338,True
RmFtSTc1dDk5,758,199.899974987492,16.0316281838699,0.0504996668887408,0.0131255319422221,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-213974,3176.296585648135,True,-6.35003331112592,1.3277032377993685,True
RmFtSVUxMA==,1256,234.28188150175,11.3392194791082,0.0836775483011326,0.0151546494873843,famiu10,FamIU10,Fam2,income_and_benefits,economic,True,,0,,,,False,112405,2509,1.4,0.06,0.001,True,,,,,,,-111149,2519.91448267595,True,2.3677548301132596,1.518760682548364,False
RmFtUHZV,15010,670.175350188292,2.71420005786737,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,12362,541.200517368563,2.6613596100638,1,0,True,1887978,7339,0.2,1,0,True,2648,861.4133734740831,True,0.21420482122633877,0.07592547627897163,False,0,0,-1872968,7369.535670583324,True,0,0
RkYxMHQxMnA1,205,47,13.9372822299652,0,0,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,True,255,0,,0,0,False,22815,0,,0,0,False,-50,47,False,-0.19607843137254902,0.1843137254901961,False,0,0,-22610,47,True,0,0
RkYxMnA1dDE1,164,43,15.938913188524,0,0,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,True,188,0,,0,0,False,23183,0,,0,0,False,-24,43,False,-0.1276595744680851,0.22872340425531915,False,0,0,-23019,43,True,0,0
RkYxNXQxN3A1,219,38,10.5480839960583,0,0,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,True,245,0,,0,0,False,34778,0,,0,0,False,-26,38,False,-0.10612244897959183,0.15510204081632653,False,0,0,-34559,38,True,0,0
RkYxN3A1dDIw,156,28,10.911074740862,0,0,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,True,141,0,,0,0,False,33443,0,,0,0,False,15,28,False,0.10638297872340426,0.19858156028368795,False,0,0,-33287,28,True,0,0
