id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwR3VhdG0=,0,0,,0,0,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,37583,2564,4.1,0.015,0.001,True,0,0,0,,,,-37583,2564,True,-1.5,0.1,True
SHNwSG5k,0,0,,0,0,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,50108,3416,4.1,0.02,0.001,True,0,0,0,,,,-50108,3416,True,-2,0.1,True
SHNwTWU=,0,0,,0,0,hspme,HspMe,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,339425,7811,1.4,0.138,0.003,True,0,0,0,,,,-339425,7811,True,-13.8,0.3,True
SHNwTmlj,0,0,,0,0,hspnic,HspNic,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,12560,1653,8,0.005,0.001,True,0,0,0,,,,-12560,1653,True,-0.5,0.1,True
SHNwT0NBbQ==,0,0,,0,0,hspocam,HspOCAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,1606,513,19.4,0.001,0,True,0,0,0,,,,-1606,513,True,-0.1,0,True
SHNwT1NBbQ==,0,0,,0,0,hsposam,HspOSAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,2811,708,15.3,0.001,0,True,0,0,0,,,,-2811,708,True,-0.1,0,True
SHNwT3Ro,0,0,,0,0,hspoth,HspOth,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,108479,3640,2,0.044,0.001,True,0,0,0,,,,-108479,3640,True,-4.3999999999999995,0.1,True
SHNwUGFu,0,0,,0,0,hsppan,HspPan,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,22824,1473,3.9,0.009,0.001,True,0,0,0,,,,-22824,1473,True,-0.8999999999999999,0.1,True
SHNwUGVydQ==,0,0,,0,0,hspperu,HspPeru,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,40211,2081,3.1,0.016,0.001,True,0,0,0,,,,-40211,2081,True,-1.6,0.1,True
SHNwUFI=,0,0,,0,0,hsppr,HspPR,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,696879,8571,0.7,0.284,0.003,True,0,0,0,,,,-696879,8571,True,-28.4,0.3,True
SHNwUHJn,0,0,,0,0,hspprg,HspPrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3666,808,13.4,0.001,0,True,0,0,0,,,,-3666,808,True,-0.1,0,True
SHNwU2Fsdg==,0,0,,0,0,hspsalv,HspSalv,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,46973,2844,3.7,0.019,0.001,True,0,0,0,,,,-46973,2844,True,-1.9,0.1,True
SHNwU0Ft,0,0,,0,0,hspsam,HspSAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,392206,7423,1.2,0.16,0.003,True,0,0,0,,,,-392206,7423,True,-16,0.3,True
SHNwU3BBbQ==,0,0,,0,0,hspspam,HspSpAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,601,224,22.7,0,0,False,0,0,0,,,,-601,224,False,0,0
SHNwU3BucmQ=,0,0,,0,0,hspspnrd,HspSpnrd,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,24966,1807,4.4,0.01,0.001,True,0,0,0,,,,-24966,1807,True,-1,0.1,True
SHNwU3Buc2g=,0,0,,0,0,hspspnsh,HspSpnsh,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,9505,1192,7.6,0.004,0,True,0,0,0,,,,-9505,1192,True,-0.4,0,True
SHNwVXJn,0,0,,0,0,hspurg,HspUrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3021,707,14.2,0.001,0,True,0,0,0,,,,-3021,707,True,-0.1,0,True
SHNwVm56,0,0,,0,0,hspvnz,HspVnz,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,13555,1267,5.7,0.006,0.001,True,0,0,0,,,,-13555,1267,True,-0.6,0.1,True
TWFsZQ==,0,0,,0,0,male,Male,Pop_1,sex_and_age,demographic,False,0,0,,0,0,False,4025097,268,0,0.477,0,True,0,0,0,,,,-4025097,268,True,-47.699999999999996,0,True
TWRBZ2U=,5,0,,,,mdage,MdAge,median,sex_and_age,demographic,False,,0,,,,False,36.5,0.1,0.2,,,True,,,,,,,-31.5,0.1,True,,
TWRQb3AwdDQ=,0,0,,0,0,mdpop0t4,MdPop0t4,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,551869,0,,0,0,False,0,0,0,,,,-551869,0,True,0,0
TWRQb3AxMHQxNA==,0,0,,0,0,mdpop10t14,MdPop10t14,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,464704,0,,0,0,False,0,0,0,,,,-464704,0,True,0,0
TWRQb3AxNXQxNw==,0,0,,0,0,mdpop15t17,MdPop15t17,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,273431,0,,0,0,False,0,0,0,,,,-273431,0,True,0,0
TWRQb3AxOHQxOQ==,0,0,,0,0,mdpop18t19,MdPop18t19,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,182243,0,,0,0,False,0,0,0,,,,-182243,0,True,0,0
TWRQb3AyMA==,0,0,,0,0,mdpop20,MdPop20,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,105547,0,,0,0,False,0,0,0,,,,-105547,0,True,0,0
TWRQb3AyMQ==,0,0,,0,0,mdpop21,MdPop21,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,105415,0,,0,0,False,0,0,0,,,,-105415,0,True,0,0
TWRQb3AyMnQyNA==,0,0,,0,0,mdpop22t24,MdPop22t24,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,360439,0,,0,0,False,0,0,0,,,,-360439,0,True,0,0
TWRQb3AyNXQyOQ==,0,0,,0,0,mdpop25t29,MdPop25t29,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,785805,0,,0,0,False,0,0,0,,,,-785805,0,True,0,0
TWRQb3AzMHQzNA==,0,0,,0,0,mdpop30t34,MdPop30t34,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,718474,0,,0,0,False,0,0,0,,,,-718474,0,True,0,0
TWRQb3AzNXQzOQ==,0,0,,0,0,mdpop35t39,MdPop35t39,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,610524,0,,0,0,False,0,0,0,,,,-610524,0,True,0,0
TWRQb3A0MHQ0NA==,0,0,,0,0,mdpop40t44,MdPop40t44,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,545892,0,,0,0,False,0,0,0,,,,-545892,0,True,0,0
